                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5173,                 2.8272,                 1.7885,                0.12537,                0.62172,                0.16249,                0.05034,                 2.6248,                 5.3827,                  2.059,             0.00043342,             0.00043342,             0.00043342
                      2,                  2.257,                 2.0675,                 1.6342,                0.24615,                0.45383,                0.16232,                0.05956,                 2.6705,                  3.716,                 2.4036,             0.00084852,             0.00084852,             0.00084852
                      3,                 2.1669,                  1.816,                 1.6223,                0.08835,                0.34603,                0.07778,                0.02234,                  2.975,                 5.2198,                 3.0436,               0.001228,               0.001228,               0.001228
                      4,                 2.1646,                 1.7208,                 1.6247,                0.23504,                0.39663,                0.18464,                0.05659,                 2.6849,                 19.592,                 2.3584,               0.001469,               0.001469,               0.001469
                      5,                  2.215,                 1.8151,                 1.6255,                0.45288,                0.29957,                0.33939,                 0.1057,                 2.7464,                 2.4333,                 2.2138,               0.001469,               0.001469,               0.001469
                      6,                 2.1375,                  1.731,                 1.6005,                0.40172,                0.28119,                0.19449,                0.06165,                 2.8035,                 2.8547,                 2.3756,              0.0014029,              0.0014029,              0.0014029
                      7,                 2.0963,                 1.7136,                 1.6117,                0.42155,                0.44646,                0.41971,                0.13908,                 2.7849,                 2.4465,                 2.2677,              0.0013369,              0.0013369,              0.0013369
                      8,                 2.0836,                 1.6116,                 1.5741,                0.45141,                0.40619,                0.31594,                0.10549,                 2.8209,                 3.2279,                 2.2998,              0.0012709,              0.0012709,              0.0012709
                      9,                 2.0607,                 1.5615,                   1.58,                 0.4577,                0.39071,                0.37916,                0.13421,                 2.7543,                 2.3907,                 2.2748,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.9696,                 1.5075,                 1.5218,                0.51046,                0.34819,                 0.3854,                0.13059,                  2.717,                 2.4794,                 2.1919,              0.0011389,              0.0011389,              0.0011389
                     11,                 2.0003,                 1.5503,                 1.5146,                0.41082,                0.50511,                0.29755,                0.10825,                  2.878,                 2.7981,                 2.2827,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.9473,                 1.4337,                  1.484,                0.24488,                0.51106,                0.23396,                0.08611,                 2.8563,                 2.7126,                 2.1342,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.9129,                 1.4178,                   1.49,                0.42326,                0.43075,                0.35253,                0.13239,                 2.8763,                 2.5009,                 2.2272,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.9129,                 1.3629,                 1.4567,                0.26902,                0.46276,                 0.2238,                0.07713,                 2.6237,                 2.4908,                 2.0768,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.9167,                   1.36,                 1.4664,                0.35761,                0.51571,                0.36039,                0.13898,                 2.7435,                  2.528,                 2.1196,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.8504,                 1.2569,                 1.5567,                0.53905,                0.44142,                0.47819,                0.19039,                 2.7379,                 2.3164,                 2.1464,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.8673,                 1.1297,                  1.554,                0.31632,                0.51094,                0.32705,                 0.1229,                 2.6518,                 2.2922,                 2.1192,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.8272,                 1.1373,                 1.5635,                0.41189,                0.48382,                0.31612,                0.12137,                 2.6568,                 2.3054,                 2.1029,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.8374,                 1.1457,                 1.5233,                0.36925,                0.56811,                0.35178,                0.12547,                 2.6147,                 2.1906,                 2.0784,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.7914,                 1.1029,                 1.4875,                 0.4862,                0.49127,                0.35228,                0.12816,                 2.6827,                 2.2408,                 2.1334,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.7457,                  1.049,                 1.4575,                0.55407,                0.50312,                0.40266,                0.16289,                 2.7253,                 2.2237,                 2.1012,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.7329,                 1.0509,                 1.4466,                0.36794,                 0.5746,                0.33267,                0.11669,                 2.7517,                 2.1606,                  2.113,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.7083,                 1.0311,                 1.4704,                0.40576,                0.58077,                0.34735,                0.13179,                 2.7519,                 2.0478,                 2.1985,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.6792,                0.96287,                 1.4318,                0.39446,                0.57146,                0.34885,                0.12526,                 2.8203,                 2.1441,                 2.2171,             0.00021471,             0.00021471,             0.00021471
                     25,                 1.6188,                0.95488,                 1.4135,                0.39156,                0.57482,                0.33594,                0.12361,                 2.8346,                 2.1881,                 2.2162,              0.0001487,              0.0001487,              0.0001487
